Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,,
R112,10K,R_0402_1005Metric,21,21.75,0,T,,,
R113,330,R_0402_1005Metric,22.55,16.8,180,T,,,
R114,10K,R_0402_1005Metric,37,21.7,0,T,,,
R115,330,R_0402_1005Metric,38.55,16.75,180,T,,,
R116,220K,R_0402_1005Metric,23.9,15.35,90,T,,,
R117,100K,R_0402_1005Metric,15.9,24.9,-90,T,,,
R118,220K,R_0402_1005Metric,39.9,15.3,90,T,,,
R119,100K,R_0402_1005Metric,31.9,24.89,-90,T,,,
R120,2K4,R_0402_1005Metric,69.8,36.55,90,T,,,
R121,2K4,R_0402_1005Metric,78.3,36.639134,90,T,,,
R122,4K7,R_0402_1005Metric,69.41,37.95,180,T,,,
R123,4K7,R_0402_1005Metric,78.3,38.55,90,T,,,
R124,10K,R_0402_1005Metric,44.4,17.25,-90,T,,,
R125,10K,R_0402_1005Metric,60.4,17.2,-90,T,,,
R126,100K,R_0402_1005Metric,44.4,19.15,-90,T,,,
R127,100K,R_0402_1005Metric,60.4,19.1,-90,T,,,
R128,330,R_0402_1005Metric,46.36,24.5,180,T,,,
R129,330,R_0402_1005Metric,62.35,24.45,180,T,,,
R130,330,R_0402_1005Metric,43,18.85,0,T,,,
R131,330,R_0402_1005Metric,58.95,18.75,0,T,,,
R132,100K,R_0402_1005Metric,44.49,24.5,0,T,,,
R133,100K,R_0402_1005Metric,60.45,24.45,0,T,,,
R134,10K,R_0402_1005Metric,41.1,18.85,0,T,,,
R135,10K,R_0402_1005Metric,57.05,18.75,0,T,,,
R136,2K4,R_0402_1005Metric,69.4,34.25,180,T,,,
R137,2K4,R_0402_1005Metric,78.3,33.75,-90,T,,,
R138,4K7,R_0402_1005Metric,69.4,33.25,0,T,,,
R139,4K7,R_0402_1005Metric,78.3,31.85,-90,T,,,
R140,10K,R_0402_1005Metric,48.15,15.35,90,T,,,
R141,10K,R_0402_1005Metric,64.15,15.3,90,T,,,
R142,10K,R_0402_1005Metric,47.2,15.35,-90,T,,,
R143,10K,R_0402_1005Metric,47.8,21.1,-90,T,,,
R144,10K,R_0402_1005Metric,47.8,23,-90,T,,,
R145,10K,R_0402_1005Metric,63.2,15.3,-90,T,,,
R146,10K,R_0402_1005Metric,63.8,21.05,-90,T,,,
R147,10K,R_0402_1005Metric,63.8,22.95,-90,T,,,
R148,100K,R_0402_1005Metric,49.2,21.7,180,T,,,
R149,100K,R_0402_1005Metric,65.2,21.7,180,T,,,
R150,330,R_0402_1005Metric,52.55,16.75,0,T,,,
R151,330,R_0402_1005Metric,68.55,16.75,0,T,,,
R152,22,R_0402_1005Metric,77.21,53.75,0,T,,,
R153,330,R_0402_1005Metric,76.2,45.7,-90,T,,,
R154,100K,R_0402_1005Metric,75.25,48.7,-90,T,,,
R160,10K,R_0402_1005Metric,55.6,20.25,90,T,,,
R161,10K,R_0402_1005Metric,71.6,20.25,90,T,,,
R162,10K,R_0402_1005Metric,52.89,21.7,0,T,,,
R163,330,R_0402_1005Metric,54.45,16.75,180,T,,,
R164,10K,R_0402_1005Metric,68.9,21.7,0,T,,,
R165,330,R_0402_1005Metric,70.45,16.75,180,T,,,
R166,220K,R_0402_1005Metric,55.85,15.3,90,T,,,
R167,100K,R_0402_1005Metric,47.8,24.86,-90,T,,,
R168,220K,R_0402_1005Metric,71.85,15.3,90,T,,,
R169,100K,R_0402_1005Metric,63.8,24.84,-90,T,,,
R170,2K4,R_0402_1005Metric,69.85,26.8,-90,T,,,
R171,2K4,R_0402_1005Metric,78.35,27.15,90,T,,,
R172,4K7,R_0402_1005Metric,68.85,26.8,90,T,,,
R173,4K7,R_0402_1005Metric,78.334053,29.05,90,T,,,
R174,100K,R_0402_1005Metric,11.660051,86.963599,0,T,,,
R175,100K,R_0402_1005Metric,27.531805,86.953656,0,T,,,
R176,4K7,R_0402_1005Metric,11.666382,85.992322,180,T,,,
R177,4K7,R_0402_1005Metric,27.537,85.995773,180,T,,,
R178,2K4,R_0402_1005Metric,42.3,80.05,0,T,,,
R179,2K4,R_0402_1005Metric,48.8,80.05,180,T,,,
R180,100K,R_0402_1005Metric,11.644107,87.908089,180,T,,,
R181,100K,R_0402_1005Metric,27.531468,87.899651,180,T,,,
R182,4K7,R_0402_1005Metric,44.8,80.05,0,T,,,
R183,4K7,R_0402_1005Metric,48.8,81,0,T,,,
R184,330,R_0402_1005Metric,40.4,80.05,180,T,,,
R185,330,R_0402_1005Metric,50.7,80.05,0,T,,,
R186,100K,R_0402_1005Metric,38.5,80.05,0,T,,,
R187,100K,R_0402_1005Metric,52.6,80.05,180,T,,,
R188,100K,R_0402_1005Metric,9.8,86.95,180,T,,,
R189,100K,R_0402_1005Metric,25.65,86.95,180,T,,,
R190,4K7,R_0402_1005Metric,9.8,86,0,T,,,
R191,4K7,R_0402_1005Metric,25.65,86,0,T,,,
R192,2K4,R_0402_1005Metric,42.3,71.35,0,T,,,
R193,2K4,R_0402_1005Metric,48.8,71.35,180,T,,,
R194,100K,R_0402_1005Metric,9.75,87.908089,0,T,,,
R195,100K,R_0402_1005Metric,25.663381,87.902512,0,T,,,
R196,4K7,R_0402_1005Metric,42.3,70.4,180,T,,,
R197,4K7,R_0402_1005Metric,48.8,70.4,0,T,,,
R198,330,R_0402_1005Metric,38.5,71.35,0,T,,,
R199,330,R_0402_1005Metric,52.6,71.35,180,T,,,
R200,100K,R_0402_1005Metric,40.4,71.35,180,T,,,
R201,100K,R_0402_1005Metric,50.7,71.35,0,T,,,
R202,330,R_0402_1005Metric,16.95,86.45,90,T,,,
R203,330,R_0402_1005Metric,32.85,86.46,90,T,,,
R204,330,R_0402_1005Metric,16.95,82.75,90,T,,,
R205,330,R_0402_1005Metric,32.4,82.9,0,T,,,
R206,330,R_0402_1005Metric,21.45,52.45,0,T,,,
R207,0.43,R_0805_2012Metric,35.325,79.2375,180,T,,,
R208,0.43,R_0805_2012Metric,31.925,79.2375,0,T,,,
R209,100K,R_0402_1005Metric,43.476891,86.942531,0,T,,,
R210,100K,R_0402_1005Metric,59.3,86.955722,0,T,,,
R211,4K7,R_0402_1005Metric,43.465066,86.000191,180,T,,,
R212,4K7,R_0402_1005Metric,59.3,86,180,T,,,
R213,2K4,R_0402_1005Metric,66.65,80.05,0,T,,,
R214,2K4,R_0402_1005Metric,73.16,80.05,180,T,,,
R215,100K,R_0402_1005Metric,43.487858,87.896027,180,T,,,
R216,100K,R_0402_1005Metric,59.313763,87.903052,180,T,,,
R217,4K7,R_0402_1005Metric,68.6,80.05,0,T,,,
R218,4K7,R_0402_1005Metric,71.16,80.05,180,T,,,
R219,330,R_0402_1005Metric,64.75,80.05,180,T,,,
R220,330,R_0402_1005Metric,75.05,80.05,0,T,,,
R221,100K,R_0402_1005Metric,62.85,80.05,0,T,,,
R222,100K,R_0402_1005Metric,76.95,80.05,180,T,,,
R223,100K,R_0402_1005Metric,41.606961,86.944915,180,T,,,
R224,100K,R_0402_1005Metric,57.4,86.95,180,T,,,
R225,4K7,R_0402_1005Metric,41.6,86,0,T,,,
R226,4K7,R_0402_1005Metric,57.4,86,0,T,,,
R227,2K4,R_0402_1005Metric,65.7,71.3,0,T,,,
R228,2K4,R_0402_1005Metric,73.55,70.9,-90,T,,,
R229,100K,R_0402_1005Metric,41.61691,87.896027,0,T,,,
R230,100K,R_0402_1005Metric,57.444373,87.899174,0,T,,,
R231,4K7,R_0402_1005Metric,67.15,70.85,90,T,,,
R232,4K7,R_0402_1005Metric,75,70.4,0,T,,,
R233,330,R_0402_1005Metric,62.85,71.35,0,T,,,
R234,330,R_0402_1005Metric,76.9,71.35,180,T,,,
R235,100K,R_0402_1005Metric,64.3,70.85,90,T,,,
R236,100K,R_0402_1005Metric,75,71.35,0,T,,,
R237,330,R_0402_1005Metric,48.8,86.45,90,T,,,
R238,330,R_0402_1005Metric,64.6,86.5,90,T,,,
R239,330,R_0402_1005Metric,48.8,82.75,90,T,,,
R240,330,R_0402_1005Metric,64.2,82.75,0,T,,,
R242,0.43,R_0805_2012Metric,58.68,79.25,180,T,,,
R243,0.43,R_0805_2012Metric,55.28,79.25,0,T,,,
SW1,SW_Omron_B3FS,SW_Push_1P1T_NO_6x6mm_H9.5mm,33.55,30.875,90,T,,,
SW2,SW_Omron_B3FS,SW_Push_1P1T_NO_6x6mm_H9.5mm,63.55,30.875,-90,T,,,
SW3,SW_Omron_B3FS,SW_Push_1P1T_NO_6x6mm_H9.5mm,4.8,17.25,-90,T,,,
SW5,SW_Omron_B3FS,SW_Push_1P1T_NO_6x6mm_H9.5mm,48.55,30.875,90,T,,,
U1,LSM6DSL,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,34.65,55,180,T,,,
U2,STM32L496ZGTx,LQFP-144_20x20mm_P0.5mm,54.9,50.6,180,T,,,
U3,SSD1306,128x64OLED,48.34,57.55,0,T,,,
U4,W25X40CLSS,SOIC-8_5.275x5.275mm_P1.27mm,34.65,50.25,0,T,,,
U5,FUSB302B01MPX,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,8.95,43.1625,0,T,,,
U6,BQ25601,Texas_S-PWQFN-N24_EP2.7x2.7mm_ThermalVias,18,43.725,90,T,,,
U7,AP2127K-3.3,SOT-23-5,2.55,44.5375,-90,T,,,
U8,PAM2423AECADJR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,14.55,56.205,0,T,,,
U9,PAM2423AECADJR,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,14.43,70.65,0,T,,,
U10,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,74.05,39.95,0,T,,,
U11,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,74.075,30.45,0,T,,,
U12,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,45.55,75.7,90,T,,,
U13,SN74LVC1G14DBV,SOT-23-5,19.5,86.6,180,T,,,
U14,SN74LVC1G14DBV,SOT-23-5,35.4,86.65,180,T,,,
U15,SN74LVC1G14DBV,SOT-23-5,19.5,83.2,180,T,,,
U16,SN74LVC1G14DBV,SOT-23-5,35.4,83.2,180,T,,,
U17,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,33.55,73.7,-90,T,,,
U18,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,69.9,75.7,90,T,,,
U19,SN74LVC1G14DBV,SOT-23-5,51.35,86.6,180,T,,,
U20,SN74LVC1G14DBV,SOT-23-5,67.15,86.7,180,T,,,
U21,SN74LVC1G14DBV,SOT-23-5,51.3375,83.2,180,T,,,
U22,SN74LVC1G14DBV,SOT-23-5,67.2,83.25,180,T,,,
U23,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,56.9,73.65,-90,T,,,
Y2,8Z-24.000MAAJ-T,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,72.6625,52.3,0,T,,,
